,ACCIDENT_NO,date,day,hour,hour_bin,season,month,police_needed,node_id,lga,region,lat,long,dry,clear,fog,raining,strong winds,ambulance_needed
134,T20190000412,2019-07-01 18:40:00,0,18,3,3,7,1,341066,YARRA,METROPOLITAN NORTH WEST REGION,-37.8094104,144.9914039,True,1.0,0.0,0.0,0.0,True
135,T20190000414,2019-06-01 11:30:00,5,11,1,3,6,0,17664,ALPINE,NORTH EASTERN REGION,-36.55834152,146.7198117,True,1.0,0.0,0.0,0.0,True
136,T20190000415,2019-08-01 12:35:00,3,12,2,3,8,1,10608,WHITTLESEA,METROPOLITAN NORTH WEST REGION,-37.68628216,145.0023367,True,1.0,0.0,0.0,0.0,True
137,T20190000419,2019-08-01 11:30:00,3,11,1,3,8,1,58380,MOIRA,NORTH EASTERN REGION,-35.91770864,145.6491834,True,1.0,0.0,0.0,0.0,True
138,T20190000422,2019-08-01 13:15:00,3,13,2,3,8,1,52210,LATROBE,EASTERN REGION,-38.19285527,146.548479,True,1.0,0.0,0.0,0.0,True
139,T20190000423,2019-08-01 11:50:00,3,11,1,3,8,1,359303,FRANKSTON,METROPOLITAN SOUTH EAST REGION,-38.14548567,145.1397294,True,1.0,0.0,0.0,0.0,True
140,T20190000427,2019-08-01 14:32:00,3,14,2,3,8,1,346516,HORSHAM,WESTERN REGION,-36.70542514,142.1854997,True,1.0,0.0,0.0,0.0,True
141,T20190000430,2019-08-01 11:55:00,3,11,1,3,8,1,341613,CAMPASPE,NORTHERN REGION,-36.1414598,144.7297545,True,1.0,0.0,0.0,0.0,True
142,T20190000432,2019-08-01 16:00:00,3,16,2,3,8,1,277256,MELBOURNE,METROPOLITAN NORTH WEST REGION,-37.78756533,144.9421388,True,1.0,0.0,0.0,0.0,True
143,T20190000434,2019-08-01 14:40:00,3,14,2,3,8,1,341079,WYNDHAM,METROPOLITAN NORTH WEST REGION,-37.81432346,144.7954007,True,1.0,0.0,0.0,0.0,True
144,T20190000439,2019-08-01 16:00:00,3,16,2,3,8,1,343927,CASEY,METROPOLITAN SOUTH EAST REGION,-37.98771211,145.2692504,True,1.0,0.0,0.0,0.0,True
145,T20190000443,2019-08-01 15:50:00,3,15,2,3,8,1,341075,BASS COAST,EASTERN REGION,-38.46731,145.2201704,True,1.0,0.0,0.0,0.0,True
146,T20190000445,2019-08-01 17:26:00,3,17,2,3,8,1,341050,MOONEE VALLEY,METROPOLITAN NORTH WEST REGION,-37.73369162,144.8941598,True,1.0,0.0,0.0,0.0,True
147,T20190000449,2019-08-01 17:50:00,3,17,2,3,8,1,203258,WYNDHAM,METROPOLITAN NORTH WEST REGION,-37.85316303,144.7366296,True,1.0,0.0,0.0,0.0,True
