Day of the Week,Part of Day,Region,Sky,Ambulance,Police
Saturday,Evening,SOUTH WESTERN REGION,Clear,0.44205861356029635,0.35226545768086115
Saturday,Evening,SOUTH WESTERN REGION,Not clear,1.7180979573907302,1.39084120360202
Saturday,Evening,WESTERN REGION,Clear,0.33154396017022225,0.3039152968227038
Saturday,Evening,WESTERN REGION,Not clear,0.7363276960245988,0.5726993191302435
Saturday,Morning,EASTERN REGION,Clear,0.6362009036126113,0.4159775139005535
Saturday,Morning,EASTERN REGION,Not clear,0.6686587057936657,0.5523702352208543
Saturday,Morning,METROPOLITAN NORTH WEST REGION,Clear,3.572512766440048,2.8058091133684395
Saturday,Morning,METROPOLITAN NORTH WEST REGION,Not clear,1.598966470376157,1.3663895292305341
Saturday,Morning,METROPOLITAN SOUTH EAST REGION,Clear,3.751954046946169,2.9036861754626875
Saturday,Morning,METROPOLITAN SOUTH EAST REGION,Not clear,2.151336705597011,1.6280385880193597
Saturday,Morning,NORTH EASTERN REGION,Clear,0.6769830128185479,0.46491604494767746
Saturday,Morning,NORTH EASTERN REGION,Not clear,0.3488654117184342,0.3197932940752314
Saturday,Morning,NORTHERN REGION,Clear,0.603575216247862,0.46491604494767746
Saturday,Morning,NORTHERN REGION,Not clear,0.26164905878882566,0.14536058821601427
Saturday,Morning,SOUTH WESTERN REGION,Clear,0.8401114496422944,0.628044481771424
Saturday,Morning,SOUTH WESTERN REGION,Not clear,0.8140192940096799,0.6686587057936657
Saturday,Morning,WESTERN REGION,Clear,0.5709495288831127,0.4322903575829282
Saturday,Morning,WESTERN REGION,Not clear,0.23257694114562283,0.23257694114562283
Saturday,Night,EASTERN REGION,Clear,0.1830514354404747,0.167133919315216
Saturday,Night,EASTERN REGION,Not clear,0.06379126386239452,0.03189563193119726
Saturday,Night,METROPOLITAN NORTH WEST REGION,Clear,1.1619786771438827,1.0425973062044427
Saturday,Night,METROPOLITAN NORTH WEST REGION,Not clear,0.8611820621423261,0.8292864302111288
Saturday,Night,METROPOLITAN SOUTH EAST REGION,Clear,0.8993396610771147,0.8436283546387094
Saturday,Night,METROPOLITAN SOUTH EAST REGION,Not clear,0.8292864302111288,0.7973907982799314
Saturday,Night,NORTH EASTERN REGION,Clear,0.14325764512732803,0.11142261287681068
Saturday,Night,NORTH EASTERN REGION,Not clear,0.09568689579359178,0.09568689579359178
Saturday,Night,NORTHERN REGION,Clear,0.17509267737784537,0.15917516125258668
Saturday,Night,NORTHERN REGION,Not clear,0.09568689579359178,0.09568689579359178
Saturday,Night,SOUTH WESTERN REGION,Clear,0.22284522575362137,0.19101019350310403
Saturday,Night,SOUTH WESTERN REGION,Not clear,0.35085195124316987,0.28706068738077534
Saturday,Night,WESTERN REGION,Clear,0.22284522575362137,0.17509267737784537
Saturday,Night,WESTERN REGION,Not clear,0.06379126386239452,0.06379126386239452
Sunday,Afternoon,EASTERN REGION,Clear,1.1044573889584506,0.7838084695834165
Sunday,Afternoon,EASTERN REGION,Not clear,1.50063694267516,1.0204331210191089
Sunday,Afternoon,METROPOLITAN NORTH WEST REGION,Clear,4.332323177333794,3.4843849238753695
Sunday,Afternoon,METROPOLITAN NORTH WEST REGION,Not clear,2.521070063694269,1.8607898089171986
Sunday,Afternoon,METROPOLITAN SOUTH EAST REGION,Clear,5.344148656250567,4.282444456542121
Sunday,Afternoon,METROPOLITAN SOUTH EAST REGION,Not clear,4.441885350318473,3.721579617834397
Sunday,Afternoon,NORTH EASTERN REGION,Clear,1.1258339835834528,0.8906914427084279
Sunday,Afternoon,NORTH EASTERN REGION,Not clear,1.4406114649681536,1.0804585987261153
Sunday,Afternoon,NORTHERN REGION,Clear,0.9049425057917627,0.7980595326667513
Sunday,Afternoon,NORTHERN REGION,Not clear,0.5402292993630576,0.3601528662420384
Sunday,Afternoon,SOUTH WESTERN REGION,Clear,0.9904488842917718,0.7909340011250839
Sunday,Afternoon,SOUTH WESTERN REGION,Not clear,1.3205605095541408,1.200509554140128
Sunday,Afternoon,WESTERN REGION,Clear,0.9975744158334391,0.7481808118750795
Sunday,Afternoon,WESTERN REGION,Not clear,0.8403566878980896,0.600254777070064
Sunday,Evening,EASTERN REGION,Clear,0.28319379931206484,0.24175080429078705
Sunday,Evening,EASTERN REGION,Not clear,0.5726993191302435,0.4090709422358882
Sunday,Evening,METROPOLITAN NORTH WEST REGION,Clear,2.2931790578440374,2.0237995902057317
Sunday,Evening,METROPOLITAN NORTH WEST REGION,Not clear,4.090709422358882,3.518010103228639
Sunday,Evening,METROPOLITAN SOUTH EAST REGION,Clear,2.4727653696029077,2.2033859019646025
Sunday,Evening,METROPOLITAN SOUTH EAST REGION,Not clear,4.745222929936303,4.090709422358882
Sunday,Evening,NORTH EASTERN REGION,Clear,0.35917262351774076,0.32463679433334264
Sunday,Evening,NORTH EASTERN REGION,Not clear,0.4090709422358882,0.32725675378871055
Sunday,Evening,NORTHERN REGION,Clear,0.34535829184398154,0.28319379931206484
Sunday,Evening,NORTHERN REGION,Not clear,0.49088513068306583,0.4090709422358882
Sunday,Evening,SOUTH WESTERN REGION,Clear,0.5180374377659723,0.4213371160496575
Sunday,Evening,SOUTH WESTERN REGION,Not clear,0.4090709422358882,0.32725675378871055
Sunday,Evening,WESTERN REGION,Clear,0.32463679433334264,0.28319379931206484
Sunday,Evening,WESTERN REGION,Not clear,0.5726993191302435,0.4090709422358882
Sunday,Morning,EASTERN REGION,Clear,0.6198880599302367,0.46491604494767746
Sunday,Morning,EASTERN REGION,Not clear,0.49422599993444843,0.29072117643202855
Sunday,Morning,METROPOLITAN NORTH WEST REGION,Clear,3.3196636893632405,2.716088473115379
Sunday,Morning,METROPOLITAN NORTH WEST REGION,Not clear,0.6977308234368684,0.6105144705072598
Sunday,Morning,METROPOLITAN SOUTH EAST REGION,Clear,3.5317306572341116,2.716088473115379
Sunday,Morning,METROPOLITAN SOUTH EAST REGION,Not clear,1.3954616468737369,1.1047404704417085
Sunday,Morning,NORTH EASTERN REGION,Clear,0.7585472312304211,0.5220109978359888
Sunday,Morning,NORTH EASTERN REGION,Not clear,0.29072117643202855,0.14536058821601427
Sunday,Morning,NORTHERN REGION,Clear,0.5220109978359888,0.4322903575829282
Sunday,Morning,NORTHERN REGION,Not clear,0.3779375293616371,0.26164905878882566
Sunday,Morning,SOUTH WESTERN REGION,Clear,0.8890499806894184,0.6932958565009226
Sunday,Morning,SOUTH WESTERN REGION,Not clear,0.3779375293616371,0.3488654117184342
Sunday,Morning,WESTERN REGION,Clear,0.554636685200738,0.42413393574174085
Sunday,Morning,WESTERN REGION,Not clear,0.26164905878882566,0.1744327058592171
Sunday,Night,EASTERN REGION,Clear,0.1830514354404747,0.167133919315216
Sunday,Night,EASTERN REGION,Not clear,0.12758252772478904,0.12758252772478904
Sunday,Night,METROPOLITAN NORTH WEST REGION,Clear,1.2654425319580642,1.1778961932691414
Sunday,Night,METROPOLITAN NORTH WEST REGION,Not clear,0.9249733260047206,0.7973907982799314
Sunday,Night,METROPOLITAN SOUTH EAST REGION,Clear,0.9948447578286669,0.9470922094528909
Sunday,Night,METROPOLITAN SOUTH EAST REGION,Not clear,0.7017039024863397,0.6060170066927479
Sunday,Night,NORTH EASTERN REGION,Clear,0.1352988870646987,0.10346385481418134
Sunday,Night,NORTH EASTERN REGION,Not clear,0.03189563193119726,0.03189563193119726
Sunday,Night,NORTHERN REGION,Clear,0.28651529025465605,0.24672149994150938
Sunday,Night,NORTHERN REGION,Not clear,0.12758252772478904,0.12758252772478904
Sunday,Night,SOUTH WESTERN REGION,Clear,0.24672149994150938,0.24672149994150938
Sunday,Night,SOUTH WESTERN REGION,Not clear,0.31895631931197255,0.28706068738077534
Sunday,Night,WESTERN REGION,Clear,0.1830514354404747,0.167133919315216
Sunday,Night,WESTERN REGION,Not clear,0.12758252772478904,0.12758252772478904
Thursday,Afternoon,EASTERN REGION,Clear,0.8194361272917535,0.7054276226250749
Thursday,Afternoon,EASTERN REGION,Not clear,1.3205605095541408,1.1404840764331217
Thursday,Afternoon,METROPOLITAN NORTH WEST REGION,Clear,4.888114637583852,3.997423194875424
Thursday,Afternoon,METROPOLITAN NORTH WEST REGION,Not clear,3.8416305732484095,2.7611719745222945
Thursday,Afternoon,METROPOLITAN SOUTH EAST REGION,Clear,5.785931611833947,4.731352943667169
Thursday,Afternoon,METROPOLITAN SOUTH EAST REGION,Not clear,5.882496815286627,4.862063694267518
Thursday,Afternoon,NORTH EASTERN REGION,Clear,0.7481808118750795,0.5914191179583961
Thursday,Afternoon,NORTH EASTERN REGION,Not clear,0.8403566878980896,0.7203057324840768
Thursday,Afternoon,NORTHERN REGION,Clear,0.7980595326667513,0.605670181041731
Thursday,Afternoon,NORTHERN REGION,Not clear,0.600254777070064,0.4802038216560512
Thursday,Afternoon,SOUTH WESTERN REGION,Clear,1.2398424882501315,0.9904488842917718
Thursday,Afternoon,SOUTH WESTERN REGION,Not clear,1.0804585987261153,0.6602802547770704
Thursday,Afternoon,WESTERN REGION,Clear,0.9975744158334391,0.8408127219167559
Thursday,Afternoon,WESTERN REGION,Not clear,0.5402292993630576,0.4201783439490448
Thursday,Evening,EASTERN REGION,Clear,0.27628663347518523,0.2486579701276667
Thursday,Evening,EASTERN REGION,Not clear,0.9817702613661317,0.8999560729189541
Thursday,Evening,METROPOLITAN NORTH WEST REGION,Clear,2.783587832262491,2.3484363845390743
Thursday,Evening,METROPOLITAN NORTH WEST REGION,Not clear,5.808807379749613,4.581594553041948
Thursday,Evening,METROPOLITAN SOUTH EAST REGION,Clear,2.6730731788724174,2.3208077211915557
