day,hour_bin,lga,sky,scaled_ambulance,scaled_police
Friday,Afternoon,MARIBYRNONG,Clear,0.020952061682869585,0.012841586192726519
Friday,Afternoon,MARIBYRNONG,Not clear,0.028467768970402173,0.0170806613822413
Friday,Afternoon,MAROONDAH,Clear,0.024331426470429195,0.01960031576784574
Friday,Afternoon,MAROONDAH,Not clear,0.03985487655856304,0.028467768970402173
Friday,Afternoon,MELBOURNE,Clear,0.06082856617607299,0.044607615195786855
Friday,Afternoon,MELBOURNE,Not clear,0.06262909173488479,0.03985487655856304
Friday,Afternoon,MELTON,Clear,0.02297968055540535,0.020952061682869585
Friday,Afternoon,MELTON,Not clear,0.02277421517632174,0.0170806613822413
Friday,Afternoon,MILDURA,Clear,0.012841586192726519,0.011489840277702675
Friday,Afternoon,MILDURA,Not clear,0.028467768970402173,0.028467768970402173
Friday,Afternoon,MITCHELL,Clear,0.016220950980286128,0.01351745915023844
Friday,Afternoon,MITCHELL,Not clear,0.03985487655856304,0.0341613227644826
Friday,Afternoon,MOIRA,Clear,0.009462221405166909,0.008786348447654985
Friday,Afternoon,MONASH,Clear,0.044607615195786855,0.034469520833108024
Friday,Afternoon,MONASH,Not clear,0.06262909173488479,0.03985487655856304
Friday,Afternoon,MOONEE VALLEY,Clear,0.016220950980286128,0.012165713235214598
Friday,Afternoon,MOONEE VALLEY,Not clear,0.028467768970402173,0.0170806613822413
Friday,Afternoon,MOORABOOL,Clear,0.004731110702583454,0.004055237745071532
Friday,Afternoon,MORELAND,Clear,0.04325586928076301,0.0337936478755961
Friday,Afternoon,MORELAND,Not clear,0.051241984146723915,0.0341613227644826
Friday,Afternoon,MORNINGTON PENINSULA,Clear,0.04055237745071533,0.0337936478755961
Friday,Afternoon,MORNINGTON PENINSULA,Not clear,0.06262909173488479,0.051241984146723915
Friday,Afternoon,MOUNT ALEXANDER,Clear,0.004055237745071532,0.0027034918300476883
Friday,Afternoon,MOYNE,Clear,0.006082856617607299,0.004731110702583454
Friday,Afternoon,MOYNE,Not clear,0.0170806613822413,0.0170806613822413
Friday,Afternoon,MURRINDINDI,Clear,0.010813967320190753,0.00675872957511922
Friday,Afternoon,MURRINDINDI,Not clear,0.01138710758816087,0.01138710758816087
Friday,Afternoon,NILLUMBIK,Clear,0.008786348447654985,0.008786348447654985
Friday,Afternoon,NILLUMBIK,Not clear,0.02277421517632174,0.02277421517632174
Friday,Afternoon,NORTHERN GRAMPIANS,Clear,0.0013517459150238441,0.0013517459150238441
Friday,Afternoon,PORT PHILLIP,Clear,0.029062537173012645,0.020952061682869585
Friday,Afternoon,PORT PHILLIP,Not clear,0.02277421517632174,0.01138710758816087
Friday,Afternoon,PYRENEES,Clear,0.004731110702583454,0.004731110702583454
Friday,Afternoon,SHEPPARTON,Clear,0.025007299427941117,0.01960031576784574
